OrderID,Product,TotalValue
1001,Headset,4266.0
1002,Laptop,1996.0
1003,Laptop,1013.0
1004,Monitor,7146.0
1005,Laptop,40.0
1006,Headset,7416.0
1007,Headset,1124.0
1008,Keyboard,6902.0
1009,Laptop,12067.0
1010,Laptop,5742.0
1011,Monitor,6894.0
1012,Keyboard,2742.0
1013,Mouse,1200.0
1014,Keyboard,10550.0
1015,Monitor,3290.0
1016,Laptop,272.0
1017,Mouse,7180.0
1018,Mouse,11231.0
1019,Laptop,7089.5
1020,Laptop,3367.0
1021,Keyboard,11924.0
1022,Monitor,4511.5
1023,Headset,2832.0
1024,Keyboard,2068.0
1025,Keyboard,1862.0
1026,Keyboard,7578.0
1027,Mouse,3848.0
1028,Keyboard,3240.0
1029,Laptop,8360.0
1030,Mouse,1047.0
1031,Mouse,1140.0
1032,Headset,1705.0
1033,Mouse,636.0
1034,Monitor,680.0
1035,Monitor,1933.5
1036,Mouse,1464.0
1037,Mouse,1336.0
1038,Mouse,1933.5
1039,Headset,7826.0
1040,Monitor,2480.0
