OrderID,Product,Category,Price,Quantity,Region
1001,Headset,Accessories,474.0,9,South
1002,Laptop,Electronics,998.0,2,North
1003,Laptop,Electronics,1013.0,1,North
1004,Monitor,Accessories,794.0,9,South
1005,Laptop,Accessories,20.0,2,South
1006,Headset,Electronics,824.0,9,South
1007,Headset,Electronics,281.0,4,South
1008,Keyboard,Electronics,986.0,7,West
1009,Laptop,Electronics,1097.0,11,East
1010,Laptop,Accessories,522.0,11,West
1011,Monitor,Accessories,1149.0,6,West
1012,Keyboard,Accessories,914.0,3,East
1013,Mouse,Electronics,400.0,3,North
1014,Keyboard,Electronics,1055.0,10,North
1015,Monitor,Electronics,470.0,7,East
1016,Laptop,Accessories,136.0,2,East
1017,Mouse,Electronics,718.0,10,West
1018,Mouse,Electronics,1021.0,11,East
1019,Laptop,Electronics,1021.0,11,West
1020,Laptop,Accessories,481.0,7,North
1021,Keyboard,Accessories,1084.0,11,South
1022,Monitor,Electronics,1084.0,7,East
1023,Headset,Electronics,472.0,6,East
1024,Keyboard,Electronics,188.0,11,South
1025,Keyboard,Accessories,266.0,7,North
1026,Keyboard,Accessories,842.0,9,East
1027,Mouse,Accessories,962.0,4,North
1028,Keyboard,Accessories,360.0,9,East
1029,Laptop,Accessories,760.0,11,West
1030,Mouse,Electronics,1047.0,1,East
1031,Mouse,Accessories,190.0,6,North
1032,Headset,Accessories,341.0,5,East
1033,Mouse,Electronics,636.0,1,South
1034,Monitor,Electronics,680.0,1,East
1035,Monitor,Electronics,680.0,3,East
1036,Mouse,Accessories,488.0,3,North
1037,Mouse,Electronics,167.0,8,North
1038,Mouse,Accessories,167.0,3,South
1039,Headset,Accessories,1118.0,7,East
1040,Monitor,Electronics,248.0,10,North
